id,userid,role,platform,action,createdate
16049,1,merchant,weixin,login,2016/9/1 16:39
1015,14,worker,android,knockoff,2016/8/4 16:26
27761,14,worker,ios,startword,2016/9/16 10:50
1513,14,person,weixin,login,2016/8/15 11:29
1062,15,worker,ios,startword,2016/8/6 8:58
2582,15,person,weixin,login,2016/8/16 14:32
3120,19,person,weixin,login,2016/8/17 1:47
5744,20,person,weixin,login,2016/8/20 10:00
1158,28,worker,ios,startword,2016/8/11 9:12
2256,33,person,weixin,login,2016/8/16 10:34
2201,37,person,weixin,login,2016/8/16 10:02
1777,39,person,weixin,login,2016/8/15 16:33
22285,41,merchant,weixin,login,2016/9/8 16:17
15055,43,worker,android,knockoff,2016/8/31 19:35
5019,43,person,weixin,login,2016/8/19 13:26
23415,44,person,weixin,login,2016/9/9 22:28
1694,45,person,weixin,login,2016/8/15 14:45
29946,47,merchant,weixin,login,2016/9/19 9:21
40308,50,worker,android,knockoff,2016/9/30 19:38
48680,50,worker,weixin,login,2016/10/12 22:25
6862,54,person,weixin,login,2016/8/21 13:47
10079,68,merchant,weixin,login,2016/8/25 19:00
27242,72,person,weixin,login,2016/9/14 20:39
29334,84,person,weixin,login,2016/9/18 10:47
41751,88,person,weixin,login,2016/10/4 11:28
6445,91,worker,ios,knockoff,2016/8/20 20:32
1776,91,person,weixin,login,2016/8/15 16:32
22865,92,worker,weixin,login,2016/9/9 12:47
4837,97,worker,weixin,login,2016/8/19 10:27
20661,100,person,weixin,login,2016/9/6 19:56
10142,112,person,weixin,login,2016/8/25 20:02
2413,116,person,weixin,login,2016/8/16 12:14
1645,122,worker,weixin,login,2016/8/15 14:04
6442,127,worker,weixin,login,2016/8/20 20:30
6682,128,person,weixin,login,2016/8/21 10:39
2414,130,person,weixin,login,2016/8/16 12:14
48442,131,worker,android,knockoff,2016/10/12 19:11
3324,136,person,weixin,login,2016/8/17 11:57
14429,147,worker,android,knockoff,2016/8/30 20:35
1622,147,person,weixin,login,2016/8/15 13:30
9807,154,worker,weixin,login,2016/8/25 14:31
30713,157,worker,weixin,login,2016/9/19 22:02
1501,159,person,weixin,login,2016/8/15 11:16
9035,160,person,weixin,login,2016/8/24 14:09
3882,166,person,weixin,login,2016/8/17 22:04
4091,168,person,weixin,login,2016/8/18 11:19
4126,170,person,weixin,login,2016/8/18 11:36
1594,173,worker,weixin,login,2016/8/15 12:53
4858,174,person,weixin,login,2016/8/19 10:41
20172,176,person,weixin,login,2016/9/6 12:07
3264,180,person,weixin,login,2016/8/17 10:55
3989,182,person,weixin,login,2016/8/18 9:43
1567,187,person,weixin,login,2016/8/15 12:29
16148,188,worker,ios,knockoff,2016/9/1 17:46
27895,195,person,weixin,login,2016/9/16 14:13
5055,209,worker,weixin,login,2016/8/19 14:05
2146,219,person,weixin,login,2016/8/16 9:28
1880,221,worker,weixin,login,2016/8/15 18:42
1102,245,worker,android,knockoff,2016/8/10 9:18
1697,245,person,weixin,login,2016/8/15 14:45
1948,276,person,weixin,login,2016/8/15 20:19
10622,277,person,weixin,login,2016/8/26 14:53
4447,282,merchant,weixin,login,2016/8/18 17:30
1215,283,worker,android,knockoff,2016/8/12 2:59
1336,283,person,weixin,login,2016/8/14 23:45
45777,289,worker,weixin,login,2016/10/9 16:15
13856,290,person,weixin,login,2016/8/30 11:21
14688,294,merchant,weixin,login,2016/8/31 12:33
1209,298,worker,ios,knockoff,2016/8/11 23:46
2128,298,person,weixin,login,2016/8/16 9:21
3558,305,person,weixin,login,2016/8/17 16:03
15514,310,person,weixin,login,2016/9/1 10:33
23756,311,person,weixin,login,2016/9/10 13:51
27149,313,worker,weixin,login,2016/9/14 18:49
1263,316,worker,ios,knockoff,2016/8/12 16:14
11483,322,person,weixin,login,2016/8/27 15:00
1511,325,person,weixin,login,2016/8/15 11:26
51080,326,worker,ios,knockoff,2016/10/15 22:42
3803,326,person,weixin,login,2016/8/17 20:28
4197,328,person,weixin,login,2016/8/18 13:02
21746,330,person,weixin,login,2016/9/8 7:17
44274,342,worker,android,knockoff,2016/10/7 19:05
24682,342,worker,weixin,login,2016/9/11 19:22
1330,343,worker,weixin,login,2016/8/14 23:36
9991,345,person,weixin,login,2016/8/25 17:36
1407,348,person,weixin,login,2016/8/15 8:42
30636,354,person,weixin,login,2016/9/19 19:49
17726,355,worker,weixin,login,2016/9/3 16:16
1001,356,worker,ios,startword,2016/8/1 17:09
12734,356,worker,weixin,login,2016/8/29 9:39
1168,357,worker,android,knockoff,2016/8/11 13:28
1173,357,worker,ios,knockoff,2016/8/11 13:56
3191,357,person,weixin,login,2016/8/17 9:20
2683,361,person,weixin,login,2016/8/16 15:35
1206,363,worker,ios,knockoff,2016/8/11 22:25
6050,363,person,weixin,login,2016/8/20 13:42
2790,365,person,weixin,login,2016/8/16 17:16
3238,366,person,weixin,login,2016/8/17 10:41
1586,369,worker,weixin,login,2016/8/15 12:48
7997,370,person,weixin,login,2016/8/23 10:37
6090,372,person,weixin,login,2016/8/20 14:06
6405,374,worker,weixin,login,2016/8/20 19:42
6588,375,person,weixin,login,2016/8/21 3:43
44124,377,worker,android,knockoff,2016/10/7 15:20
1546,377,person,weixin,login,2016/8/15 11:52
33148,379,worker,weixin,login,2016/9/22 17:16
45825,380,worker,weixin,login,2016/10/9 17:05
4824,381,person,weixin,login,2016/8/19 10:16
5033,382,person,weixin,login,2016/8/19 13:44
1771,383,worker,weixin,login,2016/8/15 16:27
37649,385,person,weixin,login,2016/9/27 20:17
3922,386,person,weixin,login,2016/8/18 0:32
46157,389,merchant,weixin,login,2016/10/10 9:32
34657,397,worker,android,knockoff,2016/9/24 14:36
17427,397,worker,weixin,login,2016/9/3 12:19
36031,406,person,weixin,login,2016/9/26 10:24
38235,407,worker,weixin,login,2016/9/28 14:27
2366,408,person,weixin,login,2016/8/16 11:35
17908,409,worker,weixin,login,2016/9/3 19:51
2139,412,person,weixin,login,2016/8/16 9:24
3263,427,person,weixin,login,2016/8/17 10:53
10662,429,person,weixin,login,2016/8/26 15:08
2195,437,person,weixin,login,2016/8/16 9:59
2689,446,person,weixin,login,2016/8/16 15:42
1512,449,person,weixin,login,2016/8/15 11:28
42598,453,worker,weixin,login,2016/10/5 20:54
30133,459,person,weixin,login,2016/9/19 12:24
2448,470,worker,weixin,login,2016/8/16 12:42
6710,496,person,weixin,login,2016/8/21 11:14
1831,501,person,weixin,login,2016/8/15 17:43
3912,502,person,weixin,login,2016/8/17 23:27
23665,504,worker,android,knockoff,2016/9/10 12:19
1919,505,person,weixin,login,2016/8/15 19:37
9227,507,person,weixin,login,2016/8/24 18:20
2707,508,person,weixin,login,2016/8/16 15:59
7978,517,person,weixin,login,2016/8/23 10:12
1300,520,worker,android,knockoff,2016/8/13 18:22
13004,520,worker,weixin,login,2016/8/29 13:57
22627,531,person,weixin,login,2016/9/9 0:18
2624,540,worker,ios,startword,2016/8/16 14:56
2352,543,person,weixin,login,2016/8/16 11:17
1134,551,worker,android,knockoff,2016/8/10 22:18
1830,552,person,weixin,login,2016/8/15 17:42
4747,553,person,weixin,login,2016/8/19 9:30
9039,554,person,weixin,login,2016/8/24 14:12
6370,569,person,weixin,login,2016/8/20 19:07
7611,573,person,weixin,login,2016/8/22 15:02
1112,584,worker,ios,startword,2016/8/10 12:20
12566,584,person,weixin,login,2016/8/28 21:37
21959,586,worker,weixin,login,2016/9/8 11:55
23394,589,person,weixin,login,2016/9/9 22:25
40852,591,person,weixin,login,2016/10/2 9:11
2725,598,person,weixin,login,2016/8/16 16:15
4372,599,person,weixin,login,2016/8/18 16:03
1140,601,worker,ios,startword,2016/8/10 23:14
1696,601,person,weixin,login,2016/8/15 14:45
2846,602,worker,weixin,login,2016/8/16 17:50
19066,609,person,weixin,login,2016/9/5 9:32
2483,614,person,weixin,login,2016/8/16 13:20
5820,617,person,weixin,login,2016/8/20 10:27
11621,623,worker,weixin,login,2016/8/27 18:34
1928,626,merchant,weixin,login,2016/8/15 19:51
32113,629,worker,weixin,login,2016/9/21 16:09
6052,630,person,weixin,login,2016/8/20 13:43
27063,642,person,weixin,login,2016/9/14 17:59
4140,646,person,weixin,login,2016/8/18 11:42
4870,652,person,weixin,login,2016/8/19 10:48
1555,657,person,weixin,login,2016/8/15 12:04
41197,668,person,weixin,login,2016/10/2 18:57
4412,677,person,weixin,login,2016/8/18 17:04
1860,679,person,weixin,login,2016/8/15 18:19
19377,681,person,weixin,login,2016/9/5 13:14
1907,682,person,weixin,login,2016/8/15 19:18
1506,716,person,weixin,login,2016/8/15 11:21
1593,718,person,weixin,login,2016/8/15 12:51
23033,728,merchant,weixin,login,2016/9/9 15:02
4244,731,worker,ios,knockoff,2016/8/18 14:07
14696,731,merchant,weixin,login,2016/8/31 12:40
2337,734,person,weixin,login,2016/8/16 11:10
30378,735,merchant,weixin,login,2016/9/19 15:38
15878,749,merchant,weixin,login,2016/9/1 14:20
2620,752,person,weixin,login,2016/8/16 14:52
16521,762,person,weixin,login,2016/9/2 10:27
12116,785,person,weixin,login,2016/8/28 12:15
22346,788,merchant,weixin,login,2016/9/8 17:12
40828,801,worker,ios,knockoff,2016/10/2 7:38
