change,first_platform,last_platform,userid
False,weixin,weixin,1
True,android,weixin,14
True,ios,weixin,15
False,weixin,Non,19
False,weixin,Non,20
False,ios,Non,28
False,weixin,Non,33
False,weixin,Non,37
False,weixin,Non,39
False,weixin,Non,41
True,android,weixin,43
False,weixin,Non,44
False,weixin,Non,45
False,weixin,Non,47
True,android,weixin,50
False,weixin,Non,54
False,weixin,Non,68
False,weixin,Non,72
False,weixin,Non,84
False,weixin,Non,88
True,ios,weixin,91
False,weixin,Non,92
False,weixin,Non,97
False,weixin,Non,100
False,weixin,Non,112
False,weixin,Non,116
False,weixin,Non,122
False,weixin,Non,127
False,weixin,Non,128
False,weixin,Non,130
False,android,Non,131
False,weixin,Non,136
True,android,weixin,147
False,weixin,Non,154
False,weixin,Non,157
False,weixin,Non,159
False,weixin,Non,160
False,weixin,Non,166
False,weixin,Non,168
False,weixin,Non,170
False,weixin,Non,173
False,weixin,Non,174
False,weixin,Non,176
False,weixin,Non,180
False,weixin,Non,182
False,weixin,Non,187
False,ios,Non,188
False,weixin,Non,195
False,weixin,Non,209
False,weixin,Non,219
False,weixin,Non,221
True,android,weixin,245
False,weixin,Non,276
False,weixin,Non,277
False,weixin,Non,282
True,android,weixin,283
False,weixin,Non,289
False,weixin,Non,290
False,weixin,Non,294
True,ios,weixin,298
False,weixin,Non,305
False,weixin,Non,310
False,weixin,Non,311
False,weixin,Non,313
False,ios,Non,316
False,weixin,Non,322
False,weixin,Non,325
True,ios,weixin,326
False,weixin,Non,328
False,weixin,Non,330
True,android,weixin,342
False,weixin,Non,343
False,weixin,Non,345
False,weixin,Non,348
False,weixin,Non,354
False,weixin,Non,355
True,ios,weixin,356
True,android,weixin,357
False,weixin,Non,361
True,ios,weixin,363
False,weixin,Non,365
False,weixin,Non,366
False,weixin,Non,369
False,weixin,Non,370
False,weixin,Non,372
False,weixin,Non,374
False,weixin,Non,375
True,android,weixin,377
False,weixin,Non,379
False,weixin,Non,380
False,weixin,Non,381
False,weixin,Non,382
False,weixin,Non,383
False,weixin,Non,385
False,weixin,Non,386
False,weixin,Non,389
True,android,weixin,397
False,weixin,Non,406
False,weixin,Non,407
False,weixin,Non,408
False,weixin,Non,409
False,weixin,Non,412
False,weixin,Non,427
False,weixin,Non,429
False,weixin,Non,437
False,weixin,Non,446
False,weixin,Non,449
False,weixin,Non,453
False,weixin,Non,459
False,weixin,Non,470
False,weixin,Non,496
False,weixin,Non,501
False,weixin,Non,502
False,android,Non,504
False,weixin,Non,505
False,weixin,Non,507
False,weixin,Non,508
False,weixin,Non,517
True,android,weixin,520
False,weixin,Non,531
False,ios,Non,540
False,weixin,Non,543
False,android,Non,551
False,weixin,Non,552
False,weixin,Non,553
False,weixin,Non,554
False,weixin,Non,569
False,weixin,Non,573
True,ios,weixin,584
False,weixin,Non,586
False,weixin,Non,589
False,weixin,Non,591
False,weixin,Non,598
False,weixin,Non,599
True,ios,weixin,601
False,weixin,Non,602
False,weixin,Non,609
False,weixin,Non,614
False,weixin,Non,617
False,weixin,Non,623
False,weixin,Non,626
False,weixin,Non,629
False,weixin,Non,630
False,weixin,Non,642
False,weixin,Non,646
False,weixin,Non,652
False,weixin,Non,657
False,weixin,Non,668
False,weixin,Non,677
False,weixin,Non,679
False,weixin,Non,681
False,weixin,Non,682
False,weixin,Non,716
False,weixin,Non,718
False,weixin,Non,728
True,ios,weixin,731
False,weixin,Non,734
False,weixin,Non,735
False,weixin,Non,749
False,weixin,Non,752
False,weixin,Non,762
False,weixin,Non,785
False,weixin,Non,788
True,ios,weixin,801
False,weixin,Non,828
True,android,weixin,829
False,weixin,Non,834
False,weixin,Non,835
False,weixin,Non,840
False,weixin,Non,847
False,weixin,Non,849
False,weixin,Non,853
False,weixin,Non,855
False,weixin,Non,857
True,android,weixin,862
False,weixin,Non,868
False,weixin,Non,870
False,weixin,Non,872
False,weixin,Non,873
False,weixin,Non,874
False,weixin,Non,891
False,weixin,Non,894
False,weixin,Non,895
False,weixin,Non,899
False,weixin,Non,908
False,weixin,Non,909
False,weixin,Non,911
False,weixin,Non,917
False,weixin,Non,918
True,ios,weixin,921
False,weixin,Non,922
False,weixin,Non,923
True,android,weixin,927
False,weixin,Non,940
False,weixin,Non,941
False,weixin,Non,943
False,weixin,Non,945
False,weixin,Non,947
False,weixin,Non,949
False,weixin,Non,951
False,weixin,Non,952
False,weixin,Non,954
False,weixin,Non,958
False,android,Non,961
False,weixin,Non,962
False,weixin,Non,965
False,weixin,Non,966
False,weixin,Non,968
True,android,weixin,969
False,weixin,Non,970
False,weixin,Non,972
True,ios,weixin,973
False,weixin,Non,974
False,weixin,Non,975
True,ios,weixin,976
False,weixin,Non,987
False,weixin,Non,989
False,weixin,Non,990
False,weixin,Non,993
True,ios,weixin,996
False,weixin,Non,1016
False,weixin,Non,1017
False,weixin,Non,1018
True,android,weixin,1019
False,weixin,Non,1026
False,weixin,Non,1028
False,ios,Non,1031
False,weixin,Non,1033
False,weixin,Non,1036
False,ios,Non,1039
False,weixin,Non,1040
False,weixin,Non,1042
False,weixin,Non,1046
False,android,Non,1047
False,weixin,Non,1053
False,weixin,Non,1054
False,weixin,Non,1055
False,weixin,Non,1056
False,weixin,Non,1057
False,weixin,Non,1062
False,weixin,Non,1064
False,weixin,Non,1065
False,weixin,Non,1066
False,weixin,Non,1068
False,weixin,Non,1069
False,weixin,Non,1071
False,weixin,Non,1074
False,android,Non,1083
False,weixin,Non,1084
False,weixin,Non,1085
False,weixin,Non,1086
True,android,weixin,1089
False,weixin,Non,1092
False,weixin,Non,1093
False,weixin,Non,1096
False,weixin,Non,1097
False,weixin,Non,1100
False,weixin,Non,1102
False,weixin,Non,1105
False,weixin,Non,1107
True,ios,weixin,1108
False,ios,Non,1109
False,weixin,Non,1115
False,weixin,Non,1116
False,weixin,Non,1117
False,weixin,Non,1118
False,weixin,Non,1119
False,weixin,Non,1120
False,weixin,Non,1121
False,weixin,Non,1122
False,weixin,Non,1124
False,weixin,Non,1126
False,weixin,Non,1132
False,weixin,Non,1133
False,weixin,Non,1135
False,weixin,Non,1136
False,weixin,Non,1137
False,weixin,Non,1138
False,weixin,Non,1141
True,android,weixin,1142
False,weixin,Non,1143
False,weixin,Non,1146
False,weixin,Non,1150
False,weixin,Non,1155
False,weixin,Non,1157
False,weixin,Non,1161
False,weixin,Non,1170
False,weixin,Non,1176
False,weixin,Non,1177
False,weixin,Non,1179
False,weixin,Non,1182
False,weixin,Non,1184
False,weixin,Non,1185
False,weixin,Non,1186
False,weixin,Non,1197
False,weixin,Non,1200
False,weixin,Non,1201
True,android,weixin,1204
False,weixin,Non,1206
False,weixin,Non,1207
False,weixin,Non,1208
False,weixin,Non,1210
False,weixin,Non,1212
False,weixin,Non,1218
True,android,weixin,1219
False,weixin,Non,1220
False,weixin,Non,1223
False,weixin,Non,1224
False,weixin,Non,1225
False,weixin,Non,1226
False,weixin,Non,1227
False,weixin,Non,1228
False,weixin,Non,1229
False,weixin,Non,1231
False,weixin,Non,1232
True,android,weixin,1235
False,weixin,Non,1236
True,android,weixin,1238
False,weixin,Non,1239
False,weixin,Non,1244
False,weixin,Non,1245
False,weixin,Non,1246
False,weixin,Non,1247
True,ios,weixin,1250
False,weixin,Non,1251
False,weixin,Non,1252
False,weixin,Non,1253
False,weixin,Non,1254
False,weixin,Non,1256
False,weixin,Non,1257
False,weixin,Non,1258
False,weixin,Non,1262
False,weixin,Non,1263
False,weixin,Non,1266
False,weixin,Non,1267
False,weixin,Non,1269
False,weixin,Non,1272
False,weixin,Non,1273
True,android,weixin,1274
False,weixin,Non,1276
False,weixin,Non,1277
False,weixin,Non,1280
False,weixin,Non,1282
False,weixin,Non,1283
False,weixin,Non,1284
False,weixin,Non,1285
True,android,weixin,1286
False,weixin,Non,1288
False,weixin,Non,1290
False,android,Non,1292
False,weixin,Non,1293
False,weixin,Non,1295
False,weixin,Non,1297
True,android,weixin,1298
True,android,weixin,1300
False,weixin,Non,1301
False,weixin,Non,1302
False,weixin,Non,1305
False,weixin,Non,1306
False,weixin,Non,1307
False,weixin,Non,1308
False,weixin,Non,1310
False,weixin,Non,1312
False,weixin,Non,1316
False,weixin,Non,1317
False,weixin,Non,1318
False,weixin,Non,1319
False,weixin,Non,1320
False,weixin,Non,1321
False,weixin,Non,1323
False,weixin,Non,1328
False,weixin,Non,1337
False,weixin,Non,1338
False,weixin,Non,1341
False,weixin,Non,1353
False,weixin,Non,1365
False,weixin,Non,1370
False,weixin,Non,1376
False,weixin,Non,1382
False,weixin,Non,1385
False,weixin,Non,1409
False,weixin,Non,1417
False,weixin,Non,1420
False,weixin,Non,1425
False,weixin,Non,1432
False,android,Non,1436
False,weixin,Non,1442
False,weixin,Non,1450
False,weixin,Non,1453
False,weixin,Non,1460
False,weixin,Non,1466
False,weixin,Non,1475
False,weixin,Non,1478
False,weixin,Non,1507
True,ios,weixin,1509
True,ios,weixin,1527
False,weixin,Non,1533
False,weixin,Non,1536
True,ios,weixin,1542
False,weixin,Non,1562
False,weixin,Non,1567
False,weixin,Non,1570
False,weixin,Non,1609
False,weixin,Non,1613
False,weixin,Non,1622
False,weixin,Non,1631
False,weixin,Non,1637
False,weixin,Non,1648
False,weixin,Non,1656
False,weixin,Non,1664
False,weixin,Non,1680
False,weixin,Non,1683
False,weixin,Non,1697
False,weixin,Non,1703
False,weixin,Non,1710
False,weixin,Non,1719
False,weixin,Non,1725
False,weixin,Non,1753
False,weixin,Non,1762
False,weixin,Non,1768
False,weixin,Non,1776
False,weixin,Non,1780
False,weixin,Non,1789
False,weixin,Non,1792
False,weixin,Non,1794
False,weixin,Non,1805
False,weixin,Non,1808
False,weixin,Non,1821
False,weixin,Non,1834
False,weixin,Non,1859
False,weixin,Non,1874
True,android,weixin,1895
True,android,weixin,1903
False,weixin,Non,1909
True,android,weixin,1921
False,weixin,Non,1924
False,weixin,Non,1931
False,weixin,Non,1946
False,weixin,Non,1949
False,weixin,Non,1952
False,weixin,Non,1958
False,weixin,Non,1969
False,weixin,Non,1978
False,weixin,Non,1981
True,android,weixin,1995
False,weixin,Non,1998
False,weixin,Non,2001
False,android,Non,2007
False,weixin,Non,2053
False,weixin,Non,2057
False,weixin,Non,2060
False,weixin,Non,2066
False,weixin,Non,2072
False,weixin,Non,2081
False,weixin,Non,2084
False,weixin,Non,2087
False,weixin,Non,2093
False,weixin,Non,2101
False,weixin,Non,2107
True,ios,weixin,2114
False,weixin,Non,2121
False,weixin,Non,2123
False,weixin,Non,2127
False,weixin,Non,2133
False,weixin,Non,2135
False,weixin,Non,2138
False,weixin,Non,2152
False,weixin,Non,2158
False,weixin,Non,2166
False,weixin,Non,2169
False,weixin,Non,2175
False,weixin,Non,2177
False,weixin,Non,2186
False,android,Non,2189
False,weixin,Non,2192
True,ios,weixin,2198
False,weixin,Non,2204
False,weixin,Non,2209
False,weixin,Non,2212
False,weixin,Non,2218
False,weixin,Non,2227
False,weixin,Non,2230
False,weixin,Non,2233
True,android,weixin,2236
True,ios,weixin,2242
True,android,weixin,2244
False,weixin,Non,2247
False,weixin,Non,2250
False,weixin,Non,2258
False,weixin,Non,2263
False,weixin,Non,2265
False,weixin,Non,2270
False,weixin,Non,2290
False,weixin,Non,2304
False,weixin,Non,2306
False,weixin,Non,2310
True,android,weixin,2318
False,weixin,Non,2325
False,weixin,Non,2328
False,android,Non,2352
False,weixin,Non,2355
False,weixin,Non,2358
False,weixin,Non,2365
True,ios,weixin,2374
False,weixin,Non,2381
False,weixin,Non,2387
False,weixin,Non,2396
False,weixin,Non,2399
False,weixin,Non,2404
False,weixin,Non,2410
