userid,state,weixin,android,ios,first_platform,last_platform,change
8663,normal,3,6,14,ios,weixin,True
356,new,1,0,7,ios,weixin,True
3922,new,0,3,0,android,android,False
9444,new,0,0,1,ios,None,False
9448,new,0,0,3,ios,ios,False
357,normal,2,7,10,android,weixin,True
1376,new,1,0,0,weixin,None,False
1417,normal,7,0,0,weixin,weixin,False
1420,new,1,0,0,weixin,None,False
1425,new,12,0,0,weixin,weixin,False
1432,normal,1,0,0,weixin,None,False
1442,new,1,0,0,weixin,None,False
1466,normal,2,0,0,weixin,weixin,False
1507,normal,5,0,0,weixin,weixin,False
1527,normal,7,0,1,ios,weixin,True
1536,normal,5,0,0,weixin,weixin,False
1542,new,1,0,2,ios,weixin,True
1622,normal,5,0,0,weixin,weixin,False
1637,normal,2,0,0,weixin,weixin,False
1648,normal,4,0,0,weixin,weixin,False
1821,new,1,0,0,weixin,None,False
1859,normal,3,0,0,weixin,weixin,False
1895,normal,0,10,8,ios,ios,True
1903,normal,2,2,0,android,weixin,True
1909,disabled,3,0,0,weixin,weixin,False
1365,normal,1,0,0,weixin,None,False
1921,normal,1,2,0,weixin,android,True
1924,new,1,0,0,weixin,None,False
1995,normal,10,0,0,weixin,weixin,False
2053,normal,74,0,0,weixin,weixin,False
2084,normal,4,0,0,weixin,weixin,False
2101,new,2,0,0,weixin,weixin,False
2114,normal,1,0,2,ios,weixin,True
2127,new,1,0,0,weixin,None,False
2135,normal,1,0,0,weixin,None,False
2152,normal,2,0,0,weixin,weixin,False
2177,new,1,0,0,weixin,None,False
2186,new,2,0,0,weixin,weixin,False
2204,normal,12,0,0,weixin,weixin,False
2209,normal,2,0,0,weixin,weixin,False
2212,normal,2,0,0,weixin,weixin,False
2218,normal,2,0,0,weixin,weixin,False
2230,normal,2,0,0,weixin,weixin,False
2233,new,1,0,0,weixin,None,False
2236,normal,1,3,0,weixin,android,True
2250,disabled,24,0,0,weixin,weixin,False
996,new,4,0,1,ios,weixin,True
2290,new,5,0,0,weixin,weixin,False
2318,normal,6,4,0,weixin,weixin,True
2328,new,3,0,0,weixin,weixin,False
2352,new,0,2,0,android,android,False
2358,normal,1,0,0,weixin,None,False
2365,normal,4,0,0,weixin,weixin,False
2374,disabled,1,0,2,ios,weixin,True
2381,normal,1,0,0,weixin,None,False
2410,normal,9,0,0,weixin,weixin,False
2440,normal,3,0,0,weixin,weixin,False
2490,normal,8,0,0,weixin,weixin,False
2515,normal,1,0,0,weixin,None,False
2521,normal,4,0,0,weixin,weixin,False
2524,normal,10,0,0,weixin,weixin,False
2527,normal,10,4,0,android,weixin,True
2539,normal,1,0,0,weixin,None,False
2537,new,6,0,0,weixin,weixin,False
2568,new,5,0,0,weixin,weixin,False
2597,normal,0,0,14,ios,ios,False
2644,normal,16,0,0,weixin,weixin,False
2664,normal,2,0,0,weixin,weixin,False
2675,normal,3,0,0,weixin,weixin,False
2746,normal,0,2,0,android,android,False
2769,normal,5,0,0,weixin,weixin,False
2778,new,6,0,0,weixin,weixin,False
2784,normal,2,0,0,weixin,weixin,False
2803,normal,5,0,0,weixin,weixin,False
2831,disabled,1,0,0,weixin,None,False
2858,normal,2,0,0,weixin,weixin,False
2866,normal,3,0,0,weixin,weixin,False
2871,normal,1,0,0,weixin,None,False
2877,normal,8,0,0,weixin,weixin,False
970,normal,2,0,0,weixin,weixin,False
1509,new,6,0,4,weixin,weixin,True
2941,new,4,0,0,weixin,weixin,False
2951,normal,1,0,0,weixin,None,False
2978,normal,3,0,0,weixin,weixin,False
3005,normal,12,0,0,weixin,weixin,False
3047,normal,1,0,0,weixin,None,False
3050,normal,4,0,0,weixin,weixin,False
3059,normal,1,0,0,weixin,None,False
3062,new,1,0,0,weixin,None,False
3144,normal,2,0,0,weixin,weixin,False
3181,normal,1,0,0,weixin,None,False
3224,normal,8,0,0,weixin,weixin,False
3227,new,1,0,0,weixin,None,False
3307,normal,8,0,0,weixin,weixin,False
3323,new,3,0,0,weixin,weixin,False
3329,normal,4,0,0,weixin,weixin,False
3345,normal,27,0,0,weixin,weixin,False
3390,new,3,0,0,weixin,weixin,False
3445,normal,2,0,0,weixin,weixin,False
182,normal,1,0,0,weixin,None,False
3297,normal,1,0,0,weixin,None,False
3525,normal,1,0,0,weixin,None,False
3597,normal,3,0,0,weixin,weixin,False
3605,normal,1,0,0,weixin,None,False
3624,normal,0,2,0,android,android,False
3636,normal,26,2,0,android,weixin,True
3642,new,1,0,0,weixin,None,False
3648,normal,3,0,0,weixin,weixin,False
3665,normal,6,0,0,weixin,weixin,False
3684,normal,12,0,0,weixin,weixin,False
3702,disabled,6,0,0,weixin,weixin,False
3715,normal,10,0,0,weixin,weixin,False
3727,new,0,2,0,android,android,False
3745,normal,0,2,0,android,android,False
3757,new,1,0,0,weixin,None,False
3771,normal,1,0,0,weixin,None,False
3779,normal,9,0,0,weixin,weixin,False
3782,normal,17,0,0,weixin,weixin,False
3786,normal,3,0,0,weixin,weixin,False
3789,disabled,6,0,0,weixin,weixin,False
3855,disabled,6,0,0,weixin,weixin,False
3911,normal,1,0,0,weixin,None,False
3919,new,1,0,0,weixin,None,False
3930,new,4,0,0,weixin,weixin,False
3933,normal,1,0,0,weixin,None,False
3936,normal,2,0,0,weixin,weixin,False
3942,new,6,0,0,weixin,weixin,False
3986,new,1,0,0,weixin,None,False
4014,new,1,0,0,weixin,None,False
4017,normal,1,0,0,weixin,None,False
4127,normal,1,0,0,weixin,None,False
4221,normal,1,0,0,weixin,None,False
828,normal,1,0,0,weixin,None,False
4302,new,1,0,0,weixin,None,False
4320,normal,5,0,0,weixin,weixin,False
4329,normal,13,0,0,weixin,weixin,False
4348,new,1,0,0,weixin,None,False
4351,normal,52,0,0,weixin,weixin,False
4424,normal,1,0,0,weixin,None,False
4455,normal,2,0,0,weixin,weixin,False
4475,new,1,0,0,weixin,None,False
1146,normal,1,0,0,weixin,None,False
3858,normal,3,0,2,weixin,weixin,True
4523,normal,6,2,0,weixin,weixin,True
4594,normal,1,27,0,weixin,android,True
4597,normal,5,0,1,ios,weixin,True
4605,normal,2,0,0,weixin,weixin,False
4614,normal,1,0,0,weixin,None,False
4603,new,1,0,0,weixin,None,False
4620,normal,2,0,0,weixin,weixin,False
4715,normal,8,0,0,weixin,weixin,False
4751,new,2,0,0,weixin,weixin,False
4905,new,1,0,0,weixin,None,False
4911,normal,5,0,0,weixin,weixin,False
14,normal,0,49,0,android,android,False
15,normal,0,0,1,ios,None,False
28,normal,0,0,1,ios,None,False
43,normal,0,2,0,android,android,False
45,normal,1,0,0,weixin,None,False
91,normal,1,0,3,ios,weixin,True
97,normal,3,0,0,weixin,weixin,False
116,normal,26,0,0,weixin,weixin,False
128,normal,7,0,0,weixin,weixin,False
147,normal,9,2,0,weixin,weixin,True
154,normal,2,0,0,weixin,weixin,False
159,normal,2,0,0,weixin,weixin,False
160,new,1,0,0,weixin,None,False
170,new,1,0,0,weixin,None,False
173,normal,23,0,0,weixin,weixin,False
174,normal,2,0,0,weixin,weixin,False
180,normal,1,0,0,weixin,None,False
187,normal,7,0,0,weixin,weixin,False
209,normal,1,0,0,weixin,None,False
221,normal,4,0,0,weixin,weixin,False
245,normal,0,9,0,android,android,False
283,normal,2,2,0,android,weixin,True
298,new,0,0,1,ios,None,False
325,normal,2,0,0,weixin,weixin,False
326,normal,2,0,0,weixin,weixin,False
343,normal,2,0,0,weixin,weixin,False
348,normal,2,0,0,weixin,weixin,False
361,new,1,0,0,weixin,None,False
363,normal,0,0,5,ios,ios,False
365,normal,1,0,0,weixin,None,False
369,normal,14,0,0,weixin,weixin,False
381,normal,8,0,0,weixin,weixin,False
383,normal,33,0,0,weixin,weixin,False
449,normal,2,0,0,weixin,weixin,False
508,new,11,0,0,weixin,weixin,False
540,new,0,0,1,ios,None,False
551,normal,0,4,0,android,android,False
552,normal,12,0,0,weixin,weixin,False
584,new,0,0,1,ios,None,False
601,normal,119,0,1,ios,weixin,True
623,normal,4,0,0,weixin,weixin,False
718,normal,11,0,0,weixin,weixin,False
829,disabled,0,2,0,android,android,False
894,new,1,0,0,weixin,None,False
899,normal,3,0,0,weixin,weixin,False
918,normal,1,0,0,weixin,None,False
921,normal,0,0,4,ios,ios,False
922,new,1,0,0,weixin,None,False
943,normal,17,0,0,weixin,weixin,False
954,normal,1,0,0,weixin,None,False
969,normal,1,0,0,weixin,None,False
973,normal,0,0,2,ios,ios,False
976,normal,1,0,0,weixin,None,False
989,normal,4,0,0,weixin,weixin,False
993,normal,3,0,0,weixin,weixin,False
1018,normal,20,0,0,weixin,weixin,False
