android,change,first_platform,ios,last_platform,state,userid,weixin
51,True,ios,2,ios,normal,14,0
0,False,ios,3,ios,normal,15,0
0,False,weixin,0,None,normal,19,1
0,False,ios,1,None,normal,28,0
2,False,android,0,android,normal,43,0
0,False,weixin,0,weixin,normal,45,2
2,True,android,0,weixin,new,50,1
0,False,weixin,0,None,normal,88,1
0,True,ios,10,weixin,normal,91,4
0,False,weixin,0,None,normal,92,1
0,False,weixin,0,weixin,normal,97,6
0,False,weixin,0,weixin,normal,100,6
0,False,weixin,0,weixin,normal,116,123
0,False,weixin,0,weixin,normal,122,10
0,False,weixin,0,weixin,new,127,2
0,False,weixin,0,weixin,normal,128,86
0,False,weixin,0,weixin,normal,130,25
2,False,android,0,android,normal,131,0
0,False,weixin,0,weixin,normal,136,25
2,True,weixin,0,weixin,normal,147,11
0,False,weixin,0,weixin,normal,154,4
0,False,weixin,0,None,normal,157,1
0,False,weixin,0,weixin,normal,159,3
0,False,weixin,0,weixin,new,160,4
0,False,weixin,0,weixin,new,170,2
0,False,weixin,0,weixin,normal,173,64
0,False,weixin,0,weixin,normal,174,4
0,False,weixin,0,weixin,normal,176,2
0,False,weixin,0,weixin,normal,180,3
0,False,weixin,0,weixin,normal,182,5
0,False,weixin,0,weixin,normal,187,13
0,False,ios,8,ios,new,188,0
0,False,weixin,0,weixin,new,195,9
0,False,weixin,0,weixin,normal,209,3
0,False,weixin,0,weixin,normal,221,6
12,True,android,0,android,normal,245,7
2,True,android,0,weixin,normal,283,13
0,False,weixin,0,weixin,new,289,2
0,True,ios,3,weixin,new,298,4
0,False,weixin,0,None,new,310,1
0,False,weixin,0,None,new,313,1
0,False,ios,5,ios,new,316,0
0,False,weixin,0,weixin,normal,325,2
0,True,weixin,2,ios,normal,326,7
0,False,weixin,0,None,normal,330,1
2,True,weixin,0,weixin,normal,342,11
0,False,weixin,0,weixin,normal,343,3
0,False,weixin,0,weixin,normal,348,8
0,False,weixin,0,None,normal,354,1
0,False,weixin,0,weixin,normal,355,8
0,True,ios,8,ios,new,356,1
7,True,android,10,weixin,normal,357,6
0,False,weixin,0,weixin,new,361,3
0,False,ios,5,ios,normal,363,0
0,False,weixin,0,None,normal,365,1
0,False,weixin,0,weixin,normal,369,14
0,False,weixin,0,weixin,normal,374,12
0,False,weixin,0,weixin,new,375,2
2,True,weixin,0,android,normal,377,9
0,False,weixin,0,weixin,new,379,2
0,False,weixin,0,weixin,normal,380,9
0,False,weixin,0,weixin,normal,381,13
0,False,weixin,0,weixin,normal,382,4
0,False,weixin,0,weixin,normal,383,42
0,False,weixin,0,weixin,normal,386,10
2,True,weixin,0,weixin,normal,397,11
0,False,weixin,0,None,new,407,1
0,False,weixin,0,weixin,normal,409,14
0,False,weixin,0,weixin,normal,449,2
0,False,weixin,0,None,normal,453,1
0,False,weixin,0,weixin,normal,459,6
0,False,weixin,0,None,new,470,1
0,False,weixin,0,None,new,502,1
3,False,android,0,android,new,504,0
0,False,weixin,0,weixin,normal,505,6
0,False,weixin,0,weixin,new,508,11
2,True,android,0,weixin,new,520,3
0,False,ios,1,None,new,540,0
0,False,weixin,0,None,new,543,1
4,False,android,0,android,normal,551,0
0,False,weixin,0,weixin,normal,552,33
0,False,weixin,0,weixin,normal,569,2
0,False,ios,1,None,new,584,0
0,False,weixin,0,None,new,586,1
0,False,weixin,0,weixin,normal,598,42
0,True,ios,1,weixin,normal,601,167
0,False,weixin,0,weixin,normal,602,30
0,False,weixin,0,weixin,normal,609,5
0,False,weixin,0,weixin,normal,623,4
0,False,weixin,0,weixin,None,629,3
0,False,weixin,0,weixin,normal,646,7
0,False,weixin,0,None,new,652,1
0,False,weixin,0,weixin,normal,657,7
0,False,weixin,0,weixin,normal,677,9
0,False,weixin,0,weixin,normal,718,21
0,False,weixin,0,weixin,new,728,2
0,False,ios,2,ios,new,731,0
0,False,weixin,0,weixin,normal,752,14
0,False,ios,5,ios,normal,801,0
0,False,weixin,0,None,normal,828,1
2,False,android,0,android,disabled,829,0
0,False,weixin,0,None,normal,835,1
0,False,weixin,0,weixin,normal,847,11
0,False,weixin,0,None,new,853,1
0,False,weixin,0,None,normal,855,1
12,False,android,0,android,normal,862,0
0,False,weixin,0,weixin,normal,873,5
0,False,weixin,0,None,new,891,1
0,False,weixin,0,None,new,894,1
0,False,weixin,0,None,normal,897,1
0,False,weixin,0,weixin,normal,899,4
0,False,weixin,0,weixin,normal,908,28
0,False,weixin,0,weixin,normal,909,4
0,False,weixin,0,weixin,normal,918,3
0,False,ios,12,ios,normal,921,0
0,False,weixin,0,None,new,922,1
4,True,weixin,0,weixin,normal,927,5
0,False,weixin,0,weixin,normal,941,20
0,False,weixin,0,weixin,normal,943,27
0,False,weixin,0,weixin,normal,947,2
0,False,weixin,0,None,new,949,1
0,False,weixin,0,None,None,951,1
0,False,weixin,0,None,normal,954,1
2,False,android,0,android,new,961,0
0,False,weixin,0,weixin,normal,965,4
0,False,weixin,0,weixin,normal,966,9
0,False,weixin,0,weixin,new,968,2
4,True,weixin,0,weixin,normal,969,10
0,False,weixin,0,weixin,normal,970,9
0,False,ios,3,ios,normal,973,0
0,True,weixin,4,weixin,normal,976,2
0,False,weixin,0,weixin,normal,987,33
0,False,weixin,0,weixin,normal,989,5
0,False,weixin,0,weixin,normal,993,3
0,True,ios,1,weixin,new,996,7
0,False,weixin,0,weixin,normal,1018,130
3,True,weixin,0,android,new,1019,1
0,False,weixin,0,None,new,1022,1
0,False,weixin,0,weixin,normal,1028,40
0,False,ios,1,None,new,1031,0
0,False,weixin,0,weixin,normal,1036,9
0,False,ios,5,ios,new,1039,0
0,False,weixin,0,weixin,new,1042,3
0,False,weixin,0,weixin,normal,1046,2
1,False,android,0,None,normal,1047,0
0,False,weixin,0,weixin,normal,1053,5
0,False,weixin,0,weixin,new,1056,5
0,False,weixin,0,None,normal,1062,1
0,False,weixin,0,None,normal,1064,1
0,False,weixin,0,weixin,normal,1066,17
0,False,weixin,0,weixin,new,1068,2
0,False,weixin,0,weixin,normal,1069,44
0,False,weixin,0,weixin,normal,1071,13
0,False,weixin,0,weixin,normal,1074,6
4,False,android,0,android,new,1083,0
0,False,weixin,0,weixin,normal,1085,21
0,False,weixin,0,None,new,1086,1
4,True,android,0,weixin,normal,1089,6
0,False,weixin,0,weixin,new,1092,12
0,False,weixin,0,weixin,normal,1096,3
0,False,weixin,0,weixin,new,1102,2
0,False,weixin,0,None,new,1107,1
0,True,ios,1,weixin,new,1108,1
0,False,ios,2,ios,new,1109,0
0,False,weixin,0,weixin,normal,1116,11
0,False,weixin,0,weixin,normal,1120,19
0,False,weixin,0,weixin,normal,1121,4
