"amount","initamount","customamount"
"69.00","69.00","0.00"
"100.00","100.00","0.00"
"89.00","89.00","0.00"
"140.00","140.00","0.00"
"109.00","109.00","0.00"
"109.00","109.00","0.00"
"109.00","109.00","0.00"
"109.00","109.00","0.00"
"49.00","49.00","0.00"
"109.00","109.00","0.00"
"49.00","49.00","0.00"
"44.00","44.00","0.00"
"149.00","149.00","0.00"
"44.00","44.00","0.00"
"120.00","120.00","0.00"
"74.00","74.00","0.00"
"108.00","108.00","0.00"
"74.00","74.00","0.00"
"89.00","89.00","0.00"
"54.00","54.00","0.00"
"89.00","89.00","0.00"
"74.00","74.00","0.00"
"89.00","89.00","0.00"
"100.00","100.00","0.00"
"100.00","100.00","0.00"
"100.00","100.00","0.00"
"74.00","74.00","0.00"
"44.00","44.00","0.00"
"100.00","100.00","0.00"
"100.00","100.00","0.00"
"49.00","49.00","0.00"
"49.00","49.00","0.00"
"149.00","149.00","0.00"
"149.00","149.00","0.00"
"109.00","109.00","0.00"
"104.00","104.00","0.00"
"120.00","120.00","0.00"
"69.00","69.00","0.00"
"99.00","99.00","0.00"
"114.00","114.00","0.00"
"79.00","79.00","0.00"
"79.00","79.00","0.00"
"79.00","79.00","0.00"
"79.00","79.00","0.00"
"79.00","79.00","0.00"
"79.00","79.00","0.00"
"79.00","79.00","0.00"
"79.00","79.00","0.00"
"79.00","79.00","0.00"
"89.00","89.00","0.00"
"119.00","119.00","0.00"
"94.00","94.00","0.00"
"120.00","120.00","0.00"
"100.00","100.00","0.00"
"74.00","74.00","0.00"
"49.00","49.00","0.00"
"100.00","100.00","0.00"
"54.00","54.00","0.00"
"120.00","120.00","0.00"
"105.00","105.00","0.00"
"100.00","100.00","0.00"
"100.00","100.00","0.00"
"100.00","100.00","0.00"
"100.00","100.00","0.00"
"100.00","100.00","0.00"
"100.00","100.00","0.00"
"100.00","100.00","0.00"
"89.00","89.00","0.00"
"120.00","120.00","0.00"
"69.00","69.00","0.00"
"74.00","74.00","0.00"
"74.00","74.00","0.00"
"54.00","54.00","0.00"
