"id","orderid","amount","reason","nums","type","state","createby","createdate","orderAmount"
"202","20722","10.00","merchantadd amount","1","merchant","none","1197","2016-05-28 16:36:33",""
"203","20729","50.00","路费","1","worker","none","1116","2016-05-29 18:47:19",""
"204","20729","50.00","车费","2","worker","none","1116","2016-05-29 19:15:00",""
"205","20729","50.00","车费","3","worker","none","1116","2016-05-29 19:15:11",""
"302","20808","6.00","merchantadd amount","1","merchant","none","7","2016-05-30 17:48:57",""
"402","20804","11.00","merchantadd amount","1","merchant","none","7","2016-05-31 10:25:06",""
"403","20903","33.00","远程费","1","worker","none","2218","2016-05-31 11:08:40",""
"404","20903","33.00","远程费","2","worker","none","2218","2016-05-31 11:08:41",""
"405","20724","7.00","merchantadd amount","1","merchant","none","7","2016-05-31 17:35:02",""
"406","20918","25.00","车费","1","worker","none","1116","2016-06-01 10:19:14",""
"407","20918","25.00","车费","2","worker","none","1116","2016-06-01 10:19:15",""
"408","20959","5.00","merchantadd amount","1","merchant","none","7","2016-06-02 13:30:02",""
"409","20959","7.00","merchantadd amount","2","merchant","none","7","2016-06-02 13:32:36",""
"502","20920","29.00","merchantadd amount","1","merchant","none","7","2016-06-03 10:26:44",""
"503","20968","8.00","merchantadd amount","1","merchant","none","7","2016-06-03 12:05:02",""
"602","20920","22.50","商家加价！","2","merchant","none","1","2016-06-07 10:18:03",""
"702","21129","90.00","拆旧和安装玻璃","1","worker","none","601","2016-06-08 12:16:54",""
"703","21129","90.00","拆旧和安装玻璃","2","worker","none","601","2016-06-08 12:16:55",""
"704","21125","36.00","商家加价！","1","merchant","none","1","2016-06-08 14:16:09",""
"705","21118","19.60","商家加价！","1","merchant","none","1","2016-06-08 16:05:32",""
"706","21129","89.00","另外拆艺术玻璃跟装艺术玻璃","3","worker","none","601","2016-06-08 22:38:14",""
"802","21129","90.00","商家加价！","4","merchant","none","1","2016-06-09 00:13:13",""
"803","21220","20.00","两对挂球","1","worker","none","552","2016-06-09 13:11:44",""
"804","21217","13.40","商家加价！","1","merchant","none","1","2016-06-09 17:02:00",""
"805","21220","22.30","商家加价！","2","merchant","none","1","2016-06-09 17:59:15",""
"806","21304","100.00","今天去不了，只能是明天上午","1","worker","none","2114","2016-06-09 18:19:37",""
"807","21216","22.30","商家加价！","1","merchant","none","1","2016-06-10 10:13:05",""
"808","20927","6.30","商家加价！","1","merchant","none","1","2016-06-10 11:52:04",""
"809","21216","19.90","商家加价！","2","merchant","none","1","2016-06-10 14:20:09",""
"902","21406","10.00","商家加价！","1","merchant","none","1","2016-06-11 12:32:39",""
"903","21406","1.00","商家加价！","2","merchant","none","1","2016-06-11 12:32:56",""
"904","21406","1.00","商家加价！","3","merchant","none","1","2016-06-11 12:33:17",""
"905","21410","10.00","商家加价！","1","merchant","none","1","2016-06-11 17:47:25",""
"906","21410","1.00","商家加价！","2","merchant","none","1","2016-06-11 17:47:34",""
"907","21227","200.00","商家加价！","1","merchant","none","1","2016-06-11 17:47:41",""
"908","21410","1.00","商家加价！","3","merchant","none","1","2016-06-11 17:47:51",""
"909","21411","22.00","商家加价！","1","merchant","none","1","2016-06-12 09:24:15",""
"1002","21502","22.20","商家加价！","1","merchant","none","1","2016-06-13 10:41:03",""
"1003","21224","87.70","商家加价！","1","merchant","none","1","2016-06-13 15:32:10",""
"1004","21504","32.00","路太远","1","worker","none","4017","2016-06-14 15:07:01",""
"1005","21504","32.00","路太远","2","worker","none","4017","2016-06-14 15:07:05",""
"1006","21504","32.00","路太远","3","worker","none","4017","2016-06-14 15:07:08",""
"1007","21504","32.00","路太远","4","worker","none","4017","2016-06-14 15:07:11",""
"1008","21504","32.00","路太远","5","worker","none","4017","2016-06-14 15:07:11",""
"1009","21504","32.00","路太远","6","worker","none","4017","2016-06-14 15:07:11",""
"1010","21504","32.00","路太远","7","worker","none","4017","2016-06-14 15:07:15",""
"1011","21504","32.00","路太远","8","worker","none","4017","2016-06-14 15:07:18",""
"1012","21504","32.00","路太远","9","worker","none","4017","2016-06-14 15:07:21",""
"1013","21504","32.00","路太远","10","worker","none","4017","2016-06-14 15:07:22",""
"1014","21504","32.00","路太远","11","worker","none","4017","2016-06-14 15:07:29",""
"1015","21529","20.00","多一根","1","worker","none","1116","2016-06-15 13:51:14",""
"1016","21540","16.70","商家加价！","1","merchant","none","1","2016-06-16 11:47:32",""
"1017","21564","80.00","40元一套","1","worker","none","2250","2016-06-16 15:42:31",""
"1018","21570","22.30","商家加价！","1","merchant","none","1","2016-06-16 16:00:24",""
"1019","21576","18.90","商家加价！","1","merchant","none","1","2016-06-16 17:48:46",""
"1020","21590","8.00","商家加价！","1","merchant","none","1","2016-06-16 18:58:43",""
"1021","21589","55.60","商家加价！","1","merchant","none","1","2016-06-16 21:11:54",""
"1102","21612","10.00","商家加价！","1","merchant","none","1","2016-06-17 11:51:04",""
"1103","21541","80.00","‍过来了不能安装耽误我们的其它工作时间。算起步价。80 ‍厂家自己搞错配件了！","1","worker","none","552","2016-06-17 15:25:09",""
"1104","21571","10.00","商家加价！","1","merchant","none","1","2016-06-17 16:18:20",""
"1105","21637","20.00","在我们这里给实体店装都是这个价钱","1","worker","none","2127","2016-06-17 18:33:05",""
"1106","21637","20.00","收到回复","2","worker","none","2127","2016-06-17 18:55:25",""
"1107","21670","10.00","商家加价！","1","merchant","exception","1","2016-06-18 12:25:57",""
"1202","21711","50.00","路途遥远","1","worker","none","3059","2016-06-19 07:40:54",""
"1203","21715","5.60","商家加价！","1","merchant","none","1","2016-06-19 10:59:06",""
"1204","21740","18.00","商家加价！","1","merchant","none","1","2016-06-19 13:57:46",""
"1205","21710","50.00","地址与订单地址相差很远，来回路上的时间需要五至六小时左右。","1","worker","none","1074","2016-06-20 09:50:04",""
"1206","21710","50.00","地址与订单地址相差很远，来回路上的时间需要五至六小时左右。","2","worker","none","1074","2016-06-20 09:50:05",""
"1207","21768","10.00","商家加价！","1","merchant","none","1","2016-06-20 11:48:57",""
"1208","21762","34.50","商家加价！","1","merchant","none","1","2016-06-20 12:22:47",""
"1209","21774","20.00","merchantadd amount","1","merchant","none","4287","2016-06-20 13:27:55",""
"1210","21776","20.00","merchantadd amount","1","merchant","none","4074","2016-06-20 14:25:12",""
"1211","21640","18.60","商家加价！","1","merchant","none","1","2016-06-20 15:06:01",""
"1212","21753","10.00","商家加价！","1","merchant","none","1","2016-06-20 17:37:31",""
"1213","21740","60.00","商家加价！","2","merchant","none","1","2016-06-20 19:28:58",""
"1302","21779","15.00","商家加价！","1","merchant","none","1","2016-06-21 14:02:17",""
"1303","21573","20.00","商家加价！","1","merchant","none","1","2016-06-21 15:29:13",""
"1304","21573","3.00","商家加价！","2","merchant","none","1","2016-06-21 15:29:39",""
"1305","21862","30.00","商家加价！","1","merchant","none","1","2016-06-22 14:42:56",""
"1306","21674","22.00","商家加价！","1","merchant","none","1","2016-06-22 15:05:14",""
"1307","21786","72.00","商家加价！","1","merchant","none","1","2016-06-22 17:39:43",""
"1308","21663","20.00","商家加价！","1","merchant","none","1","2016-06-23 17:33:13",""
"1309","21663","3.00","商家加价！","2","merchant","none","1","2016-06-23 17:33:24",""
"1310","21716","67.00","商家加价！","1","merchant","none","1","2016-06-24 15:25:00",""
"1311","21716","8.00","商家加价！","2","merchant","none","1","2016-06-24 15:25:16",""
"1312","21916","48.00","商家加价！","1","merchant","none","1","2016-06-24 15:59:37",""
"1313","21934","10.00","商家加价！","1","merchant","none","1","2016-06-24 17:51:33",""
"1314","21938","10.00","商家加价！","1","merchant","none","1","2016-06-24 18:11:29",""
"1315","21938","52.50","商家加价！","2","merchant","none","1","2016-06-24 18:24:35",""
"1316","21957","32.00","商家加价！","1","merchant","none","1","2016-06-25 11:35:15",""
"1317","21918","30.00","商家加价！","1","merchant","none","1","2016-06-25 12:35:25",""
